PairIndex,Image1,Image2,Time(s),Matches
317,image0318.jpg,image0319.jpg,9.469,200
318,image0319.jpg,image0320.jpg,15.535,188
319,image0320.jpg,image0321.jpg,16.453,197
320,image0321.jpg,image0322.jpg,11.223,190
321,image0322.jpg,image0323.jpg,8.044,197
322,image0323.jpg,image0324.jpg,11.016,193
323,image0324.jpg,image0325.jpg,14.831,199
324,image0325.jpg,image0326.jpg,9.541,194
325,image0326.jpg,image0327.jpg,13.092,200
326,image0327.jpg,image0328.jpg,11.254,191
327,image0328.jpg,image0329.jpg,10.675,197
328,image0329.jpg,image0330.jpg,12.949,191
329,image0330.jpg,image0331.jpg,13.148,204
330,image0331.jpg,image0332.jpg,8.961,201
331,image0332.jpg,image0333.jpg,10.295,204
332,image0333.jpg,image0334.jpg,11.570,200
333,image0334.jpg,image0335.jpg,11.921,209
334,image0335.jpg,image0336.jpg,17.607,206
335,image0336.jpg,image0337.jpg,12.041,214
336,image0337.jpg,image0338.jpg,11.108,206
337,image0338.jpg,image0339.jpg,14.768,213
338,image0339.jpg,image0340.jpg,13.883,202
339,image0340.jpg,image0341.jpg,27.386,203
340,image0341.jpg,image0342.jpg,49.493,203
341,image0342.jpg,image0343.jpg,9.405,202
342,image0343.jpg,image0344.jpg,10.157,209
343,image0344.jpg,image0345.jpg,8.495,203
344,image0345.jpg,image0346.jpg,12.115,209
345,image0346.jpg,image0347.jpg,10.584,210
346,image0347.jpg,image0348.jpg,9.220,207
347,image0348.jpg,image0349.jpg,7.985,202
348,image0349.jpg,image0350.jpg,7.307,204
349,image0350.jpg,image0351.jpg,23.553,206
350,image0351.jpg,image0352.jpg,13.556,208
351,image0352.jpg,image0353.jpg,12.460,202
352,image0353.jpg,image0354.jpg,8.688,203
353,image0354.jpg,image0355.jpg,7.523,205
354,image0355.jpg,image0356.jpg,8.366,208
355,image0356.jpg,image0357.jpg,10.785,203
356,image0357.jpg,image0358.jpg,8.213,201
357,image0358.jpg,image0359.jpg,12.353,204
358,image0359.jpg,image0360.jpg,13.017,208
359,image0360.jpg,image0361.jpg,8.820,205
360,image0361.jpg,image0362.jpg,7.695,214
361,image0362.jpg,image0363.jpg,9.411,205
362,image0363.jpg,image0364.jpg,14.300,196
363,image0364.jpg,image0365.jpg,26.977,184
364,image0365.jpg,image0366.jpg,17.352,196
365,image0366.jpg,image0367.jpg,11.554,197
366,image0367.jpg,image0368.jpg,31.245,209
367,image0368.jpg,image0369.jpg,24.749,202
368,image0369.jpg,image0370.jpg,21.672,206
369,image0370.jpg,image0371.jpg,13.675,194
370,image0371.jpg,image0372.jpg,22.641,198
371,image0372.jpg,image0373.jpg,13.587,183
372,image0373.jpg,image0374.jpg,16.469,186
373,image0374.jpg,image0375.jpg,13.744,182
374,image0375.jpg,image0376.jpg,12.767,191
375,image0376.jpg,image0377.jpg,19.873,191
376,image0377.jpg,image0378.jpg,14.430,196
377,image0378.jpg,image0379.jpg,18.665,192
378,image0379.jpg,image0380.jpg,17.876,192
